sentence,true_label,pred_label,score
오후 회의 오늘은 좀 힘들듯요,1,0,0.8696611914403626
배경 피드백 30분만 앞당길 수 있을까요?,1,0,0.8754486425253066
오늘은 리뷰 없이 진행할까요?,1,0,0.7980846408129341
배경 싱크 5분만 늦게 시작해도 되죠?,1,0,0.8597325969642798
오늘 저녁에 회의 참여 못할 것 같아요,1,0,0.8870631540401472
내일 점심쯤 싱크 한 번 하실래요?,1,0,0.8796416423077389
리허설 세션 빠졌으면 알려주세요,1,0,0.8490064066952496
스케치팀 회의 취소됐다는 얘기 들으셨나요?,1,0,0.8575369392879093
채색 마감 1일 연장됐어요,1,0,0.7385107066596851
카페에서 잉킹 같이 할 사람?,1,0,0.674155965029594
오늘 리뷰 못할 것 같아요ㅠ,1,0,0.6832396465660387
오늘 채색 회의는 그냥 온라인으로 할래?,1,0,0.884523724461754
회의실 2에서 킥오프 하면 되죠?,1,0,0.8872173681968012
저녁쯤 채색팀 미팅 가능해요,1,0,0.8829513367565219
싱크 회의 아까 끝났나요?,1,0,0.8141586638072148
잉킹팀 미팅 취소합시다,1,0,0.8644048469217845
오늘 5시에 한 번 보자,1,0,0.8583380236069349
점심 먹고 콘티 리뷰 어때요?,1,0,0.8808851884929435
이따가 잠깐 모여서 얘기하자,1,0,0.791813629313431
이번엔 배경 팀도 같이 참여해요!,1,0,0.8680296317791725
리허설 30분만 당겨서 해요,1,0,0.8700632095060522
이번 주 싱크는 그냥 온라인으로 할까요?,1,0,0.8200612853905517
배경팀 오늘 미팅 없는 거 맞죠?,1,0,0.861842603501835
오늘 리허설 참여 못 할 것 같아요,1,0,0.8808606313887747
금요일 밤 킥오프는 나중에 다시 얘기하자,1,0,0.8240263737851946
내일은 콘티 킥오프 힘들 것 같아요ㅠㅠ,1,0,0.6097713338373877
싱크 맞추는 시간 조금만 당길 수 있을까요?,1,0,0.8465120085625383
점심 먹고 나서 배경팀 모입시다,1,0,0.6488034770482957
10분만 늦게 시작해도 되죠? 😅,1,0,0.6667274421250715
오늘 밤에 피드백 드릴게요,1,0,0.8786468589849522
"오늘 리뷰 없이 진행할까, 뭐 어떻게?",1,0,0.7877601694483055
"30분 앞당기기 어려울까 걱정이야, 혹시 가능할지 확인해줘",1,0,0.7157899071809796
오늘 콘티 리뷰는 여기서 끝낼지 몰라요,1,0,0.8882769707010404
"모레 오전 콘티 리뷰, 잡혀 있던 거 맞아? 🤔",1,0,0.8413571945781008
이따가 잠깐 모이자! 👍,1,0,0.8007898891087347
채색 킥오프는 지금처럼 진행되나요?,1,0,0.8805225250598698
저녁에 킥오프 얘기 나누면 좋겠네요?,1,0,0.7798839799558362
"@지은 배경 체크 세션은 빠뜨렸어, 다시 잡는 거야?",1,0,0.74709098981584
"이번 주 싱크, 온라인으로 하면 안 될까?",1,0,0.8308703153124339
내일로 미루는 게 어때요? 편하겠지?,1,0,0.8510798105143432
"채색팀 회의, 취소됐네요",1,0,0.8884982390003979
오늘 리허설 못 할 것 같아요,1,0,0.8295078218538622
"금요일 밤 킥오프, 나중에 다시 봐요",1,0,0.7779355030180953
저녁 회의는 다음에 다시 봐야겠어요,1,0,0.7566405612690574
콘티팀 미팅 5시로 바꾸는 건 어때요?,1,0,0.8251473998939364
"점심 끝나고 배경팀 모임, 봐요!",1,0,0.6917705584360555
내일은 바빠서 채색 세션 못 할 것 같아.,1,0,0.8773362998540355
"30분 앞당기기 좀 어려울 수도 있어, 혹시 가능할지 알려줘?",1,0,0.6507594675787244
"내일로 빼는 게 어때, 편하겠지?",1,0,0.4643666334500986
"채색팀 회의, 취소됐네요. 다음엔 뭐가 될지 궁금해요",1,0,0.8036159867295888
"점심 끝나고 배경팀 모임, 봐요! 👍",1,0,0.7585661027895189
킥오프 시간 바뀌었는지 궁금해요… 혹시 알려주실 수 있나요?,1,0,0.8435908496819414
"30분 앞당기기 좀 어렵겠는데, 혹시 가능할지 알려줘?",1,0,0.6998067767552781
"내일 회의로 바꿔야 할까, 빠르게 알려줘.",1,0,0.8853353956375273
"금요일 콘티 리뷰, 어제 3시로 되어 있었는데 다시 확인해줘",1,0,0.8831985511021371
싱크 세션 여기까지 끝나는 거죠? 😊,1,0,0.8882934299312376
내일로 회의를 미루는 게 맞나요? 오늘은 너무 피곤해요 😴,1,0,0.7459490481764472
2시 리허설을 3시로 옮기면 30분 쉬는 게 더 좋아?,1,0,0.8810810796507781
"오후 5시 리허설, 잡아두면 어때? 📅",1,0,0.8776950538947261
"점심 끝나고 배경팀 모임, 봐요! 👍",1,0,0.7585661027895189
